# Couple date with exact start time and realisation
#DATE       Z Realization   experiment_id
2008-10-15 00           1     tamip200810
2008-10-16 06           2     tamip200810
2008-10-17 12           3     tamip200810
2008-10-18 18           4     tamip200810
2008-10-20 00           5     tamip200810
2008-10-21 06           6     tamip200810
2008-10-22 12           7     tamip200810
2008-10-23 18           8     tamip200810
2008-10-25 00           9     tamip200810
2008-10-26 06          10     tamip200810
2008-10-27 12          11     tamip200810
2008-10-28 18          12     tamip200810
2008-10-30 00          13     tamip200810
2008-10-31 06          14     tamip200810
2008-11-01 12          15     tamip200810
2008-11-02 18          16     tamip200810
2009-01-15 00           1     tamip200901
2009-01-16 06           2     tamip200901
2009-01-17 12           3     tamip200901
2009-01-18 18           4     tamip200901
2009-01-20 00           5     tamip200901
2009-01-21 06           6     tamip200901
2009-01-22 12           7     tamip200901
2009-01-23 18           8     tamip200901
2009-01-25 00           9     tamip200901
2009-01-26 06          10     tamip200901
2009-01-27 12          11     tamip200901
2009-01-28 18          12     tamip200901
2009-01-30 00          13     tamip200901
2009-01-31 06          14     tamip200901
2009-02-01 12          15     tamip200901
2009-02-02 18          16     tamip200901
2009-04-15 00           1     tamip200904
2009-04-16 06           2     tamip200904
2009-04-17 12           3     tamip200904
2009-04-18 18           4     tamip200904
2009-04-20 00           5     tamip200904
2009-04-21 06           6     tamip200904
2009-04-22 12           7     tamip200904
2009-04-23 18           8     tamip200904
2009-04-25 00           9     tamip200904
2009-04-26 06          10     tamip200904
2009-04-27 12          11     tamip200904
2009-04-28 18          12     tamip200904
2009-04-30 00          13     tamip200904
2009-05-01 06          14     tamip200904
2009-05-02 12          15     tamip200904
2009-05-03 18          16     tamip200904
2009-07-15 00           1     tamip200907
2009-07-16 06           2     tamip200907
2009-07-17 12           3     tamip200907
2009-07-18 18           4     tamip200907
2009-07-20 00           5     tamip200907
2009-07-21 06           6     tamip200907
2009-07-22 12           7     tamip200907
2009-07-23 18           8     tamip200907
2009-07-25 00           9     tamip200907
2009-07-26 06          10     tamip200907
2009-07-27 12          11     tamip200907
2009-07-28 18          12     tamip200907
2009-07-30 00          13     tamip200907
2009-07-31 06          14     tamip200907
2009-08-01 12          15     tamip200907
2009-08-02 18          16     tamip200907
